#name=microsporidia_odb10
#domain=eukaryota
#creation_date=2020-08-05
#number_of_BUSCOs=600
#number_of_species=13
#max_intron=60000
#max_seq_len=70000
#Model_ID	Description	Link
2776at6029	40S ribosomal protein S26	https://www.orthodb.org/v10?query=2776at6029
2406at6029	ribosomal protein L6	https://www.orthodb.org/v10?query=2406at6029
1508at6029	Glycerol-3-phosphate dehydrogenase 	https://www.orthodb.org/v10?query=1508at6029
2105at6029	transcription initiation factor TFIIF subunit beta	https://www.orthodb.org/v10?query=2105at6029
864at6029	WD40/YVTN repeat-like-containing domain superfamily	https://www.orthodb.org/v10?query=864at6029
1185at6029	sirtuin-like protein	https://www.orthodb.org/v10?query=1185at6029
476at6029	WD40-repeat-containing domain	https://www.orthodb.org/v10?query=476at6029
1935at6029	Eukaryotic TATA box binding transcription initiation factor TFIID-1	https://www.orthodb.org/v10?query=1935at6029
238at6029	DNA polymerase	https://www.orthodb.org/v10?query=238at6029
328at6029	integrator complex subunit 11	https://www.orthodb.org/v10?query=328at6029
594at6029	Peptide chain release factor subunit 1	https://www.orthodb.org/v10?query=594at6029
2341at6029	myosin regulatory light chain 12	https://www.orthodb.org/v10?query=2341at6029
399at6029	translation elongation factor EF-1 alpha	https://www.orthodb.org/v10?query=399at6029
2044at6029	40S ribosomal protein S8	https://www.orthodb.org/v10?query=2044at6029
2815at6029	Thymidylate kinase	https://www.orthodb.org/v10?query=2815at6029
25at6029	Snf2-like DNA/RNA helicase	https://www.orthodb.org/v10?query=25at6029
2028at6029	RNA-binding S4 domain	https://www.orthodb.org/v10?query=2028at6029
637at6029	gamma-glutamyltranspeptidase / glutathione hydrolase / leukotriene-C4 hydrolase	https://www.orthodb.org/v10?query=637at6029
3216at6029	DNA-directed RNA polymerase II subunit Rpb10	https://www.orthodb.org/v10?query=3216at6029
2747at6029	Transcription elongation factor SPT4	https://www.orthodb.org/v10?query=2747at6029
2232at6029	Cytidylate kinase	https://www.orthodb.org/v10?query=2232at6029
1012at6029	ribonucleoside-diphosphate reductase subunit M2	https://www.orthodb.org/v10?query=1012at6029
3475at6029	large subunit ribosomal protein L39e	https://www.orthodb.org/v10?query=3475at6029
291at6029	5'-3' exoribonuclease	https://www.orthodb.org/v10?query=291at6029
326at6029	Translation elongation factor 2	https://www.orthodb.org/v10?query=326at6029
23at6029	DNA-directed RNA polymerase II subunit RPB2	https://www.orthodb.org/v10?query=23at6029
788at6029	23S rRNA (uridine(2552)-2'-O-)-methyltransferase	https://www.orthodb.org/v10?query=788at6029
2089at6029	40S ribosomal protein S6	https://www.orthodb.org/v10?query=2089at6029
1991at6029	cleavage stimulation factor subunit 2	https://www.orthodb.org/v10?query=1991at6029
3044at6029	Ubiquitin-related modifier 1	https://www.orthodb.org/v10?query=3044at6029
1371at6029	DNA-directed RNA polymerase II subunit RPB3	https://www.orthodb.org/v10?query=1371at6029
549at6029	DNA replication factor C subunit	https://www.orthodb.org/v10?query=549at6029
716at6029	ribosome assembly protein 4	https://www.orthodb.org/v10?query=716at6029
2843at6029	Ribosomal protein L30E	https://www.orthodb.org/v10?query=2843at6029
358at6029	Rho rac cdc42-like gtpases guanine nucleotide exchange factor	https://www.orthodb.org/v10?query=358at6029
1179at6029	Sulfite reductase subunit alpha	https://www.orthodb.org/v10?query=1179at6029
717at6029	Nucleolar GTP-binding protein 2	https://www.orthodb.org/v10?query=717at6029
3507at6029	DNA-directed RNA polymerase subunit	https://www.orthodb.org/v10?query=3507at6029
2022at6029	Large subunit ribosomal protein L17e	https://www.orthodb.org/v10?query=2022at6029
2738at6029	histone H3/H4-like protein	https://www.orthodb.org/v10?query=2738at6029
1279at6029	endoplasmic reticulum membrane-associated oxidoreductin	https://www.orthodb.org/v10?query=1279at6029
2924at6029	Histone H2A	https://www.orthodb.org/v10?query=2924at6029
418at6029	Prolyl-tRNA synthetase	https://www.orthodb.org/v10?query=418at6029
1198at6029	RIO protein kinase	https://www.orthodb.org/v10?query=1198at6029
1004at6029	Transcription initiation factor TFIIB	https://www.orthodb.org/v10?query=1004at6029
1062at6029	Golgi protein	https://www.orthodb.org/v10?query=1062at6029
726at6029	hcp-like protein	https://www.orthodb.org/v10?query=726at6029
1680at6029	40S ribosomal protein S1	https://www.orthodb.org/v10?query=1680at6029
407at6029	serine/threonine-protein kinase TTK/MPS1	https://www.orthodb.org/v10?query=407at6029
3011at6029	Fe-S cluster assembly protein DRE2	https://www.orthodb.org/v10?query=3011at6029
471at6029	Phosphoinositide polyphosphatase	https://www.orthodb.org/v10?query=471at6029
186at6029	DNA replication licensing factor MCM3	https://www.orthodb.org/v10?query=186at6029
158at6029	patatin-like phospholipase domain containing protein 6	https://www.orthodb.org/v10?query=158at6029
1123at6029	glycerol-3-phosphate O-acyltransferase 3/4	https://www.orthodb.org/v10?query=1123at6029
3597at6029	signal peptidase complex subunit 1	https://www.orthodb.org/v10?query=3597at6029
289at6029	glycyl-tRNA synthetase	https://www.orthodb.org/v10?query=289at6029
1145at6029	Pyruvate kinase	https://www.orthodb.org/v10?query=1145at6029
237at6029	Putative integral membrane protein	https://www.orthodb.org/v10?query=237at6029
423at6029	Tubulin alpha chain	https://www.orthodb.org/v10?query=423at6029
445at6029	phosphatidate phosphatase LPIN	https://www.orthodb.org/v10?query=445at6029
963at6029	alpha-1,2 mannosyl-transferase	https://www.orthodb.org/v10?query=963at6029
234at6029	ubiquitin protein ligase E3A	https://www.orthodb.org/v10?query=234at6029
2650at6029	MIP18 family-like	https://www.orthodb.org/v10?query=2650at6029
2615at6029	N-acetylglucosaminyl-phosphatidylinositol de-n-acetylase	https://www.orthodb.org/v10?query=2615at6029
2973at6029	Diphthamide biosynthesis protein 3	https://www.orthodb.org/v10?query=2973at6029
1166at6029	apurinic endonuclease (APN1)	https://www.orthodb.org/v10?query=1166at6029
139at6029	DNA repair helicase (rad3)	https://www.orthodb.org/v10?query=139at6029
1717at6029	Putative short chain dehydrogenase	https://www.orthodb.org/v10?query=1717at6029
79at6029	SNF2-like helicase	https://www.orthodb.org/v10?query=79at6029
1904at6029	exosome complex component RRP4	https://www.orthodb.org/v10?query=1904at6029
1651at6029	26s proteasome non-atpase regulatory subunit 6	https://www.orthodb.org/v10?query=1651at6029
2685at6029	small subunit ribosomal protein S14e	https://www.orthodb.org/v10?query=2685at6029
352at6029	Phosphoacetylglucosamine mutase	https://www.orthodb.org/v10?query=352at6029
607at6029	26s proteasome regulatory subunit 8	https://www.orthodb.org/v10?query=607at6029
2475at6029	Transcription initiation factor TFIIIB subunit Bdp1	https://www.orthodb.org/v10?query=2475at6029
1345at6029	Putative proton-dependent oligopeptide transport protein	https://www.orthodb.org/v10?query=1345at6029
2923at6029	Dna-directed rna polymerase subunit k	https://www.orthodb.org/v10?query=2923at6029
2655at6029	transcription factor SPN1	https://www.orthodb.org/v10?query=2655at6029
2144at6029	ribosomal protein L24	https://www.orthodb.org/v10?query=2144at6029
862at6029	ubiquitin-like 1-activating enzyme E1 B	https://www.orthodb.org/v10?query=862at6029
2826at6029	large subunit ribosomal protein L44e	https://www.orthodb.org/v10?query=2826at6029
1467at6029	Small GTP-binding protein domain	https://www.orthodb.org/v10?query=1467at6029
2823at6029	Hemolysin iii-like integral membrane protein	https://www.orthodb.org/v10?query=2823at6029
132at6029	26S proteasome regulatory complex, non-ATPase subcomplex, Rpn1 subunit	https://www.orthodb.org/v10?query=132at6029
2592at6029	monothiol glutaredoxin	https://www.orthodb.org/v10?query=2592at6029
145at6029	Coatomer subunit beta	https://www.orthodb.org/v10?query=145at6029
1407at6029	rRNA adenine N(6)-methyltransferase	https://www.orthodb.org/v10?query=1407at6029
3217at6029	Cytochrome B5	https://www.orthodb.org/v10?query=3217at6029
521at6029	Ribonuclease Z	https://www.orthodb.org/v10?query=521at6029
230at6029	Phosphatidylinositol-4-kinase catalytic subunit	https://www.orthodb.org/v10?query=230at6029
734at6029	60S ribosomal export protein NMD3	https://www.orthodb.org/v10?query=734at6029
2401at6029	Mediator of RNA polymerase II transcription subunit 6	https://www.orthodb.org/v10?query=2401at6029
2974at6029	dna-directed rna polymerase i subunit m	https://www.orthodb.org/v10?query=2974at6029
390at6029	Leucyl-tRNA synthetase	https://www.orthodb.org/v10?query=390at6029
782at6029	Putative AAA+ class ATPase	https://www.orthodb.org/v10?query=782at6029
474at6029	ATP-dependent RNA helicase DBP2	https://www.orthodb.org/v10?query=474at6029
957at6029	serine/threonine kinase	https://www.orthodb.org/v10?query=957at6029
1579at6029	Zinc finger, RING-CH-type	https://www.orthodb.org/v10?query=1579at6029
1216at6029	tRNA-dihydrouridine synthase A	https://www.orthodb.org/v10?query=1216at6029
829at6029	small GTP-binding protein domain	https://www.orthodb.org/v10?query=829at6029
1423at6029	Cyclin	https://www.orthodb.org/v10?query=1423at6029
177at6029	Transcription initiation factor TFIID subunit 1	https://www.orthodb.org/v10?query=177at6029
2119at6029	putative RNA-binding protein	https://www.orthodb.org/v10?query=2119at6029
628at6029	putative polyphosphate synthetase Vtc4	https://www.orthodb.org/v10?query=628at6029
2632at6029	Protein YIP	https://www.orthodb.org/v10?query=2632at6029
1451at6029	Eukaryotic translation initiation factor 5	https://www.orthodb.org/v10?query=1451at6029
2449at6029	Glutathione peroxidase	https://www.orthodb.org/v10?query=2449at6029
2996at6029	H aca ribonucleoprotein complex subunit 2	https://www.orthodb.org/v10?query=2996at6029
585at6029	polyadenylate-binding protein	https://www.orthodb.org/v10?query=585at6029
129at6029	Chitin synthase 1	https://www.orthodb.org/v10?query=129at6029
38at6029	exportin 1	https://www.orthodb.org/v10?query=38at6029
2058at6029	large subunit ribosomal protein L7Ae	https://www.orthodb.org/v10?query=2058at6029
1397at6029	Threonylcarbamoyl-AMP synthase	https://www.orthodb.org/v10?query=1397at6029
1489at6029	18S rRNA (Guanine1575-N7)-methyltransferase	https://www.orthodb.org/v10?query=1489at6029
1114at6029	Putative 1-acyl-SN-glycerol-3-phosphate	https://www.orthodb.org/v10?query=1114at6029
2349at6029	Fcp1-like phosphatase	https://www.orthodb.org/v10?query=2349at6029
881at6029	Atpase involved in dna repair	https://www.orthodb.org/v10?query=881at6029
1806at6029	WD40-repeat-containing domain	https://www.orthodb.org/v10?query=1806at6029
501at6029	Eukaryotic translation initiation factor 2	https://www.orthodb.org/v10?query=501at6029
1254at6029	choline-phosphate cytidylyltransferase	https://www.orthodb.org/v10?query=1254at6029
3305at6029	Protein kish	https://www.orthodb.org/v10?query=3305at6029
294at6029	V-type proton ATPase subunit a	https://www.orthodb.org/v10?query=294at6029
707at6029	Nucleotide-sugar transporter	https://www.orthodb.org/v10?query=707at6029
2917at6029	High mobility group protein	https://www.orthodb.org/v10?query=2917at6029
1128at6029	Exonuclease 1	https://www.orthodb.org/v10?query=1128at6029
349at6029	T-complex protein 1 subunit alpha	https://www.orthodb.org/v10?query=349at6029
2397at6029	Putative membrane protein	https://www.orthodb.org/v10?query=2397at6029
965at6029	Saccharopine dehydrogenase	https://www.orthodb.org/v10?query=965at6029
1206at6029	ccr4-associated factor	https://www.orthodb.org/v10?query=1206at6029
3143at6029	U6 snRNA associated Sm-like protein	https://www.orthodb.org/v10?query=3143at6029
113at6029	WD40-repeat-containing domain	https://www.orthodb.org/v10?query=113at6029
487at6029	DNA mismatch repair protein MSH6	https://www.orthodb.org/v10?query=487at6029
1116at6029	GPI mannosyltransferase 2	https://www.orthodb.org/v10?query=1116at6029
666at6029	tRNA nucleotidyltransferase/poly(A) polymerase	https://www.orthodb.org/v10?query=666at6029
498at6029	Xenotropic and polytropic retrovirus receptor 1	https://www.orthodb.org/v10?query=498at6029
1360at6029	60S acidic ribosomal protein P0	https://www.orthodb.org/v10?query=1360at6029
1537at6029	Ribosomal protein L2	https://www.orthodb.org/v10?query=1537at6029
2928at6029	ring-box protein 1	https://www.orthodb.org/v10?query=2928at6029
2779at6029	large subunit ribosomal protein L26e	https://www.orthodb.org/v10?query=2779at6029
27at6029	Helicase DNA-binding protein	https://www.orthodb.org/v10?query=27at6029
1731at6029	tRNA (guanine-N(7)-)-methyltransferase	https://www.orthodb.org/v10?query=1731at6029
1455at6029	Heat shock transcription factor	https://www.orthodb.org/v10?query=1455at6029
867at6029	2-(3-amino-3-carboxypropyl)histidine synthase	https://www.orthodb.org/v10?query=867at6029
1258at6029	ran specific gtpase-activating protein	https://www.orthodb.org/v10?query=1258at6029
710at6029	T complex protein 1 subunit beta	https://www.orthodb.org/v10?query=710at6029
124at6029	Alanine--tRNA ligase	https://www.orthodb.org/v10?query=124at6029
1715at6029	ribosomal protein S3	https://www.orthodb.org/v10?query=1715at6029
69at6029	P-type ATPase	https://www.orthodb.org/v10?query=69at6029
371at6029	ribosome biogenesis protein BMS1	https://www.orthodb.org/v10?query=371at6029
99at6029	Nonsense-mediated mRNA decay protein 5	https://www.orthodb.org/v10?query=99at6029
1805at6029	putative metal-binding protein	https://www.orthodb.org/v10?query=1805at6029
2115at6029	cytosine-adenosine deaminase	https://www.orthodb.org/v10?query=2115at6029
2261at6029	ribosomal protein L21	https://www.orthodb.org/v10?query=2261at6029
2853at6029	t-complex 10	https://www.orthodb.org/v10?query=2853at6029
3169at6029	Transcription elongation factor 1 homolog	https://www.orthodb.org/v10?query=3169at6029
1528at6029	heat shock transcription factor	https://www.orthodb.org/v10?query=1528at6029
3278at6029	small subunit ribosomal protein S29e	https://www.orthodb.org/v10?query=3278at6029
971at6029	RNA polymerase II transcription factor B subunit 2	https://www.orthodb.org/v10?query=971at6029
2990at6029	Transcription initiation factor TFIID subunit TAF10	https://www.orthodb.org/v10?query=2990at6029
1804at6029	Ribosomal protein L13E	https://www.orthodb.org/v10?query=1804at6029
1200at6029	Heat shock protein DnaJ, cysteine-rich domain	https://www.orthodb.org/v10?query=1200at6029
1309at6029	40S ribosomal protein S4	https://www.orthodb.org/v10?query=1309at6029
2670at6029	translation initiation factor eIF-1A	https://www.orthodb.org/v10?query=2670at6029
419at6029	GroEL-like apical domain superfamily	https://www.orthodb.org/v10?query=419at6029
1031at6029	Sec1-like protein	https://www.orthodb.org/v10?query=1031at6029
1866at6029	Casein kinase II subunit beta	https://www.orthodb.org/v10?query=1866at6029
541at6029	Pumilio RNA-binding family	https://www.orthodb.org/v10?query=541at6029
675at6029	serine/threonine-protein kinase Chk1	https://www.orthodb.org/v10?query=675at6029
136at6029	structural maintenance of chromosome 2	https://www.orthodb.org/v10?query=136at6029
1966at6029	GTP cyclohydrolase 1 type 2/Nif3	https://www.orthodb.org/v10?query=1966at6029
2418at6029	Sulfhydryl oxidase	https://www.orthodb.org/v10?query=2418at6029
721at6029	Sec1-like protein	https://www.orthodb.org/v10?query=721at6029
1942at6029	26S proteasome regulatory subunit N6	https://www.orthodb.org/v10?query=1942at6029
2324at6029	6-phosphogluconolactonase	https://www.orthodb.org/v10?query=2324at6029
1089at6029	Pseudouridine synthase	https://www.orthodb.org/v10?query=1089at6029
1685at6029	Proteasome subunit alpha	https://www.orthodb.org/v10?query=1685at6029
2688at6029	atp-dependent 26s proteasome regulatory subunit	https://www.orthodb.org/v10?query=2688at6029
1848at6029	snf2 rad54-like helicase	https://www.orthodb.org/v10?query=1848at6029
813at6029	WD40-repeat-containing domain	https://www.orthodb.org/v10?query=813at6029
2589at6029	class 2 transcription repressor NC2 subunit beta	https://www.orthodb.org/v10?query=2589at6029
1698at6029	Ribonuclease	https://www.orthodb.org/v10?query=1698at6029
1024at6029	Flap endonuclease 1	https://www.orthodb.org/v10?query=1024at6029
512at6029	Anaphase-promoting complex subunit 3	https://www.orthodb.org/v10?query=512at6029
831at6029	putative DEAD-box helicase	https://www.orthodb.org/v10?query=831at6029
795at6029	alpha/beta hydrolase fold protein	https://www.orthodb.org/v10?query=795at6029
2611at6029	CDK-activating kinase assembly factor MAT1	https://www.orthodb.org/v10?query=2611at6029
1294at6029	Deoxyhypusine hydroxylase	https://www.orthodb.org/v10?query=1294at6029
2033at6029	ribosomal protein L13	https://www.orthodb.org/v10?query=2033at6029
860at6029	Serine/threonine-protein phosphatase	https://www.orthodb.org/v10?query=860at6029
2120at6029	Ribosomal protein L30, ferredoxin-like fold domain	https://www.orthodb.org/v10?query=2120at6029
1899at6029	Transcription factor E2F	https://www.orthodb.org/v10?query=1899at6029
1808at6029	Ubiquitin-like protein	https://www.orthodb.org/v10?query=1808at6029
324at6029	glucose-repressible alcohol dehydrogenase transcriptional effector	https://www.orthodb.org/v10?query=324at6029
1081at6029	small-conductance mechanosensitive channel protein	https://www.orthodb.org/v10?query=1081at6029
1461at6029	Ribosomal protein S2	https://www.orthodb.org/v10?query=1461at6029
954at6029	Deoxyhypusine synthase	https://www.orthodb.org/v10?query=954at6029
315at6029	Structural maintenance of chromosomes protein 6	https://www.orthodb.org/v10?query=315at6029
543at6029	26S proteasome regulatory subunit 7	https://www.orthodb.org/v10?query=543at6029
723at6029	Seryl-tRNA synthetase	https://www.orthodb.org/v10?query=723at6029
284at6029	DNA topoisomerase	https://www.orthodb.org/v10?query=284at6029
2303at6029	Ribosomal protein L11, C-terminal	https://www.orthodb.org/v10?query=2303at6029
100at6029	transitional endoplasmic reticulum ATPase	https://www.orthodb.org/v10?query=100at6029
1197at6029	taf4 transcription initiation factor tfiid component	https://www.orthodb.org/v10?query=1197at6029
245at6029	dynamin 1-like protein	https://www.orthodb.org/v10?query=245at6029
1162at6029	Glyceraldehyde-3-phosphate dehydrogenase	https://www.orthodb.org/v10?query=1162at6029
1316at6029	putative pseudouridylate synthase	https://www.orthodb.org/v10?query=1316at6029
2252at6029	small subunit ribosomal protein S18e	https://www.orthodb.org/v10?query=2252at6029
429at6029	protein disulfide isomerase	https://www.orthodb.org/v10?query=429at6029
687at6029	Threonyl-tRNA synthetase	https://www.orthodb.org/v10?query=687at6029
410at6029	Putative DNA mismatch repair enzyme	https://www.orthodb.org/v10?query=410at6029
1984at6029	Uracil-DNA glycosylase	https://www.orthodb.org/v10?query=1984at6029
2259at6029	Phosphatidic acid phosphatase type 2/haloperoxidase	https://www.orthodb.org/v10?query=2259at6029
458at6029	Vacuolar ATP synthase subunit B	https://www.orthodb.org/v10?query=458at6029
55at6029	Ubiquitin-activating enzyme E1	https://www.orthodb.org/v10?query=55at6029
